model	vld_ls	trn_ls	epoch	data	filters	kernels	dense	activ	dropout	pooling	crop	lr	gpu	time	date
dec	5.99e-04	4.78e-04	100	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.0	(0, 0, 0, 0)	0-0	0.002	1	3507.1	2022_09_20_16-20-04
dec	6.88e-04	5.78e-04	68	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.0	(0, 0, 0, 0)	0-0	0.005	1	2279.1	2022_09_20_16-20-06
dec	7.24e-04	6.28e-04	59	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.0	(0, 0, 0, 0)	0-0	0.001	1	1103.3	2022_09_20_16-19-59
dec	7.98e-04	7.53e-04	50	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.0	(0, 0, 0, 0)	0-0	0.001	1	2540.0	2022_09_20_08-37-22
dec	1.17e-03	1.28e-03	74	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	2034.5	2022_09_20_13-21-32
dec	1.22e-03	1.43e-03	59	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.1	(0, 0, 0, 0)	0-0	0.002	1	3191.7	2022_09_20_13-21-38
dec	1.30e-03	1.83e-03	59	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.2	(0, 0, 0, 0)	0-0	0.002	1	1889.2	2022_09_20_13-21-42
dec	1.34e-03	1.57e-03	50	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	1422.1	2022_09_19_17-34-47
dec	1.35e-03	1.40e-03	50	1.0	256-64-32-1	(3, [2, 2])	8-1024	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	2269.1	2022_09_20_08-37-17
dec	1.41e-03	1.72e-03	50	1.0	128-64-32-1	(3, [2, 2])	8-1024	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	1227.9	2022_09_19_17-34-57
dec	1.41e-03	1.87e-03	50	1.0	256-128-64-32-1	(3, [2, 2])	8-256	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	590.2	2022_09_20_08-37-25
dec	1.42e-03	1.97e-03	61	1.0	256-64-32-1	(3, [2, 2])	8-512	relu	0.2	(0, 0, 0, 0)	0-0	0.001	1	3698.8	2022_09_20_13-21-36
dec	3.11e-03	3.80e-03	30	1.0	256-128-64-32-1	(3, [2, 2])	8-256	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	502.1	2022_09_19_17-01-33
dec	3.60e-03	4.19e-03	29	1.0	256-256-128-64-32-1	(3, [2, 2])	8-64-256	relu	0.1	(0, 0, 0, 0)	0-0	0.001	1	281.9	2022_09_19_17-01-31
dec	3.96e-02	3.94e-02	5	0.1	256-64-32-1	(3, [2, 2])	8-512	relu	0.0	(0, 0, 0, 0)	0-0	0.001	1	95.2	2022_09_20_08-37-22
enc	1.35e-03	1.12e-03	8	0.1	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	23277.6	2022_10_07_15-18-55
enc	1.50e-03	1.53e-03	20	0.01	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	829.5	2022_10_07_15-19-00
enc	1.13e-02	3.12e-03	12	0.3	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	14598.1	2022_10_03_09-09-58
enc	1.19e-02	5.42e-03	13	0.3	32-64-128-256	(3, [2, 2])	256-7	relu	0.2	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	15505.5	2022_10_03_09-09-53
enc	1.23e-02	5.15e-03	15	0.3	32-64-128-256	(3, [2, 2])	256-7	relu	0.2	(None, [2, 2], [1, 1], 'valid')	14-14	0.001	1	15935.4	2022_10_03_13-54-02
enc	1.24e-02	2.53e-03	15	0.2	32-64-128-256	(3, [2, 2])	256-7	relu	0	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	6942.6	2022_09_30_23-32-28
enc	1.24e-02	4.24e-03	20	0.2	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	17803.3	2022_09_30_17-46-45
enc	1.24e-02	5.20e-03	20	0.2	32-64-128-256	(3, [2, 2])	256-64-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	13548.6	2022_09_30_17-46-38
enc	1.29e-02	1.42e-02	20	0.5	8-16-32	(7, [2, 2])	128-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	7077.6	2022_10_24_12-28-57
enc	1.30e-02	1.40e-02	20	0.5	8-16-32	(7, [2, 2])	192-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	7563.8	2022_10_24_17-04-26
enc	1.31e-02	3.61e-03	13	0.2	32-64-128-256	(3, [2, 2])	256-7	relu	0.05	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	8127.1	2022_09_30_23-32-31
enc	1.31e-02	1.39e-02	20	0.5	8-16-32	(7, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	8398.7	2022_10_24_12-29-00
enc	1.32e-02	1.40e-02	10	0.05	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	1927.8	2022_09_30_14-36-46
enc	1.32e-02	1.49e-02	30	1	8-16-32	(7, [2, 2])	128-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	1865.6	2022_10_24_17-51-04
enc	1.34e-02	4.14e-03	13	0.2	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	14-14	0.001	1	9496.5	2022_09_30_23-32-33
enc	1.35e-02	2.92e-03	15	0.3	32-64-128-256	(3, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	14-14	0.001	1	21054.5	2022_10_03_13-54-06
enc	1.37e-02	1.57e-02	20	0.5	8-16-32	(7, [2, 2])	160-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	7459.0	2022_10_24_17-04-24
enc	1.38e-02	1.61e-02	20	1	8-16-32	(7, [2, 2])	128-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	1883.5	2022_10_24_17-04-18
enc	1.41e-02	1.35e-02	20	0.5	4-8-16	(7, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	2537.0	2022_10_24_07-32-20
enc	1.42e-02	1.57e-02	20	0.5	16-32-64	(7, [2, 2])	256-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	4554.2	2022_10_24_07-32-26
enc	1.43e-02	1.58e-02	20	0.5	16-32-64	(7, [2, 2])	384-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	8258.9	2022_10_24_12-29-05
enc	1.44e-02	1.80e-02	20	0.5	4-8-16	(7, [2, 2])	64-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	7055.7	2022_10_22_11-17-19
enc	1.46e-02	1.82e-02	10	0.05	32-64-128-256	(3, [2, 2])	64-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	1764.8	2022_09_30_14-36-44
enc	1.48e-02	1.88e-02	20	0.5	16-32-64	(7, [2, 2])	128-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	1285.7	2022_10_24_07-32-24
enc	1.50e-02	1.80e-02	14	0.5	8-16-32	(7, [2, 2])	96-7	relu	0.1	(None, [2, 2], [1, 1], 'valid')	0-0	0.001	1	3089.9	2022_10_24_17-04-21
